GOID,GENE
GO:0006811,DNF1
GO:0006811,FEN2
GO:0006811,FLX1
GO:0006811,FRE4
GO:0006811,GAL2
GO:0006811,GEX2
GO:0006811,HXT17
GO:0006811,HXT2
GO:0006811,HXT6
GO:0006811,HXT8
GO:0006811,JEN1
GO:0006811,KHA1
GO:0006811,MAL31
GO:0006811,MEP1
GO:0006811,MMT1
GO:0006811,MMT2
GO:0006811,MPH3
GO:0006811,MSC2
GO:0006811,PDR16
GO:0006811,PHM7
GO:0006811,PHO84
GO:0006811,PHO86
GO:0006811,PHO91
GO:0006811,PMC1
GO:0006811,PMP3
GO:0006811,PRY2
GO:0006811,PRY3
GO:0006811,PUG1
GO:0006811,SAM3
GO:0006811,SFK1
GO:0006811,SLY41
GO:0006811,TDH3
GO:0006811,TPO1
GO:0006811,TRK1
GO:0006811,UGA4
GO:0006811,VMA2
GO:0006811,YCF1
GO:0006811,YCR015C
GO:0006811,YHK8
GO:0006811,YHM2
GO:0006811,YJL193W
GO:0006811,YNR048W
GO:0006811,YOR378W
GO:0006811,YPL279C
GO:0006811,YPR128C
GO:0006811,YRO2
GO:0006865,AGP3
GO:0006865,ALP1
GO:0006865,ATG22
GO:0006865,AVT1
GO:0006865,AVT6
GO:0006865,MMP1
GO:0006865,SAM3
GO:0006865,UGA4
GO:0006865,YMC1
GO:0006869,DNF1
GO:0006869,NCR1
GO:0006869,OSH7
GO:0006869,PDR11
GO:0006869,PDR16
GO:0006869,PRY2
GO:0006869,PRY3
GO:0006869,SFK1
GO:0006869,TCB2
GO:0006869,TCB3
GO:0006869,YHR080C
GO:0006869,YNR048W
GO:0006873,AFT1
GO:0006873,ARN2
GO:0006873,ATM1
GO:0006873,CSG2
GO:0006873,FRE4
GO:0006873,GEX2
GO:0006873,GLC7
GO:0006873,HAA1
GO:0006873,KKQ8
GO:0006873,MAC1
GO:0006873,MAM3
GO:0006873,MMT1
GO:0006873,MMT2
GO:0006873,MSC2
GO:0006873,OCT1
GO:0006873,PDR5
GO:0006873,PMC1
GO:0006873,SLF1
GO:0006873,TRK1
GO:0006873,UTR1
GO:0006873,VMA2
GO:0006873,YDR151C
GO:0006887,EXO70
GO:0006887,EXO84
GO:0006887,KIN1
GO:0006887,MYO5
GO:0006887,OSH7
GO:0006887,SEC10
GO:0006887,SEC3
GO:0006887,SEC4
GO:0006887,SEC6
GO:0006887,SEC8
GO:0006887,SLA2
GO:0006887,SRO7
GO:0006887,SSO1
GO:0006887,SSO2
GO:0006897,ACT1
GO:0006897,AKL1
GO:0006897,ALY1
GO:0006897,CHC1
GO:0006897,DNF1
GO:0006897,ECM21
GO:0006897,FEN2
GO:0006897,GLC7
GO:0006897,GVP36
GO:0006897,LSB5
GO:0006897,MYO5
GO:0006897,OSH7
GO:0006897,PAN1
GO:0006897,PIL1
GO:0006897,RHO5
GO:0006897,RIM8
GO:0006897,ROM2
GO:0006897,RSP5
GO:0006897,RVS167
GO:0006897,SCD5
GO:0006897,SDS24
GO:0006897,SLA2
GO:0006897,SWA2
GO:0006897,WHI2
GO:0006897,YPT7
GO:0006897,YSC84
GO:0006970,ALD6
GO:0006970,CIN5
GO:0006970,HOG1
GO:0006970,HSP82
GO:0006970,MYO5
GO:0006970,NUP42
GO:0006970,PBS2
GO:0006970,PSR1
GO:0006970,RCK2
GO:0006970,ROX1
GO:0006970,SSK1
GO:0006970,SSK2
GO:0006970,STE11
GO:0006970,STE50
GO:0006970,STO1
GO:0006970,SUB1
GO:0006970,TCO89
GO:0006970,YGR066C
GO:0006974,ABF1
GO:0006974,ARP8
GO:0006974,BMH2
GO:0006974,CHK1
GO:0006974,CSM3
GO:0006974,CYC8
GO:0006974,DNA2
GO:0006974,DNL4
GO:0006974,EAF5
GO:0006974,EXO1
GO:0006974,GLC7
GO:0006974,HIM1
GO:0006974,HRQ1
GO:0006974,HTA2
GO:0006974,MKT1
GO:0006974,MLH3
GO:0006974,MMS22
GO:0006974,MSH3
GO:0006974,PIF1
GO:0006974,PLM2
GO:0006974,POB3
GO:0006974,PSY2
GO:0006974,RAD28
GO:0006974,RAD5
GO:0006974,RAD54
GO:0006974,REV3
GO:0006974,RRM3
GO:0006974,SHU2
GO:0006974,SMC5
GO:0006974,SMC6
GO:0006974,SPT16
GO:0006974,TDP1
GO:0006974,TFB1
GO:0006974,TOR1
GO:0006974,TUP1
GO:0006974,YKR095W
GO:0006979,ACT1
GO:0006979,CMK2
GO:0006979,GCY1
GO:0006979,GLR1
GO:0006979,HOG1
GO:0006979,IRA2
GO:0006979,LOT6
GO:0006979,MSN2
GO:0006979,RCK2
GO:0006979,RHO5
GO:0006979,RSC9
GO:0006979,SIT4
GO:0006979,SKN7
GO:0006979,SSN3
GO:0006979,STB5
GO:0006979,SVF1
GO:0006979,TOR1
GO:0006979,YKL069W
GO:0006979,ZTA1
